-19850646.000000, 184454928.000000
94692792.000000, -17189086.000000
94340560.000000, -19019678.000000
94255224.000000, -19446268.000000
93634856.000000, -22253170.000000
93373496.000000, -23330060.000000
93007984.000000, -24739142.000000
92561864.000000, -26379194.000000
92244032.000000, -27487712.000000
92119536.000000, -27886596.000000
91927144.000000, -28529684.000000
91143128.000000, -30922298.000000
90596160.000000, -32498410.000000
89978880.000000, -34171884.000000
90010448.000000, -34083016.000000
88616240.000000, -37563216.000000
88074080.000000, -38830828.000000
87837808.000000, -39364636.000000
87201152.000000, -40755440.000000
87111152.000000, -40951696.000000
86625632.000000, -41971804.000000
85635320.000000, -43962060.000000
84452016.000000, -46191768.000000
84377592.000000, -46302404.000000
83162352.000000, -48472452.000000
84063696.000000, -46893156.000000
81531320.000000, -51178700.000000
81756592.000000, -50797488.000000
80359128.000000, -52990608.000000
79757616.000000, -53902660.000000
78472568.000000, -55751076.000000
77969184.000000, -56456584.000000
76734680.000000, -58131392.000000
76770400.000000, -58073880.000000
76563480.000000, -58352348.000000
74995192.000000, -60359220.000000
75123248.000000, -60194688.000000
74203520.000000, -61324896.000000
72453824.000000, -63388040.000000
71926456.000000, -63987132.000000
70009928.000000, -66088036.000000
69406504.000000, -66720384.000000
68415024.000000, -67735360.000000
67205400.000000, -68938296.000000
67093300.000000, -69044888.000000
65796608.000000, -70280688.000000
64890888.000000, -71124088.000000
62835736.000000, -72949088.000000
62246220.000000, -73452088.000000
60016060.000000, -75295944.000000
60742508.000000, -74693728.000000
58721316.000000, -76315288.000000
58030936.000000, -76833288.000000
56222192.000000, -78171496.000000
56405364.000000, -78035968.000000
54284692.000000, -79530784.000000
53905080.000000, -79790784.000000
51444644.000000, -81406920.000000
51908844.000000, -81100392.000000
49730720.000000, -82461416.000000
48609220.000000, -83127872.000000
48137064.000000, -83409928.000000
46640856.000000, -84257568.000000
45063008.000000, -85108144.000000
43289264.000000, -86035136.000000
42086864.000000, -86627720.000000
40285628.000000, -87481944.000000
39593044.000000, -87799168.000000
39634984.000000, -87777232.000000
37077388.000000, -88902456.000000
36740824.000000, -89033408.000000
34348208.000000, -89995784.000000
33771836.000000, -90218824.000000
32166400.000000, -90801248.000000
31032318.000000, -91190640.000000
29581394.000000, -91675120.000000
28517938.000000, -92020688.000000
27827156.000000, -92229312.000000
26148644.000000, -92726904.000000
23292192.000000, -93485712.000000
23552126.000000, -93423448.000000
22309614.000000, -93736360.000000
20333750.000000, -94183496.000000
19412296.000000, -94376232.000000
17474290.000000, -94767576.000000
15755663.000000, -95068256.000000
14987451.000000, -95197648.000000
12987981.000000, -95498344.000000
12075714.000000, -95621040.000000
11579039.000000, -95684048.000000
9668260.000000, -95899504.000000
7464148.000000, -96105696.000000
6711528.000000, -96149960.000000
5409148.500000, -96243472.000000
2854838.750000, -96361344.000000
2821379.500000, -96362272.000000
-84761.164062, -96415008.000000
-625994.687500, -96409728.000000
-2542735.500000, -96385424.000000
-2897657.250000, -96376584.000000
-4198060.500000, -96329032.000000
-6935156.000000, -96186312.000000
-7259371.000000, -96156888.000000
-8643055.000000, -96054032.000000
-10806534.000000, -95840584.000000
-10694551.000000, -95856728.000000
-13232909.000000, -95543624.000000
-16227869.000000, -95090032.000000
-15468407.000000, -95215360.000000
-16014290.000000, -95126400.000000
-16994844.000000, -94956136.000000
-20076384.000000, -94371600.000000
-22230670.000000, -93898752.000000
-21739080.000000, -94006200.000000
-24005526.000000, -93464720.000000
-24695248.000000, -93286472.000000
-26951840.000000, -92678360.000000
-27578798.000000, -92487960.000000
-29523918.000000, -91894896.000000
-31732836.000000, -91166184.000000
-31732438.000000, -91159880.000000
-34088220.000000, -90324576.000000
-34681148.000000, -90108616.000000
-35974136.000000, -89598920.000000
-38416916.000000, -88599672.000000
